Dwelling Type;Climate Type;Degrees of Reference;Construction Period;Size Factor;Surface;Ceiling Height;Share of Windows;Dwelling per Floor;Floors;Intermittence;__init__ial Age;Heating System;Efficiency;A Investment;B Investment;Maintenance Cost;Emission Factor;Energy Price;Same Switch Cost;Different Switch Cost;Delevery Type Cost;Specific Gas Price;Annual Variation;Carbon Price;Discount Rate;Inflation Rate;Insulation Limit;Headcount;Um0;Um1;Um2;Um3;Um4;Um5;Um6;Um7;Um8;Um9;Um10;Um11;Um12;Um13;Um14;Um15;Um16;Um17;Um18;Uw0;Uw1;Uw2;Uw3;Ur0;Ur1;Ur2;Ur3;Uf0;Uf1;Uf2;Uf3;Uf4;Uf5
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;0;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594;2.5;0.77;0.5;0.38;0.3;0.35;0.29;0.25;0.45;0.36;0.3;0.26;0.23;0.65;0.48;0.38;0.32;0.27;0.26;4.0;2.0;1.7;1.2;2.5;0.38;0.19;0.14;1.2;0.63;0.43;0.34;0.29;0.25
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;1;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594;2.5;0.77;0.5;0.38;0.3;0.35;0.29;0.25;0.45;0.36;0.3;0.26;0.23;0.65;0.48;0.38;0.32;0.27;0.26;4.0;2.0;1.7;1.2;2.5;0.38;0.19;0.14;1.2;0.63;0.43;0.34;0.29;0.25
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;2;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594;2.5;0.77;0.5;0.38;0.3;0.35;0.29;0.25;0.45;0.36;0.3;0.26;0.23;0.65;0.48;0.38;0.32;0.27;0.26;4.0;2.0;1.7;1.2;2.5;0.38;0.19;0.14;1.2;0.63;0.43;0.34;0.29;0.25
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;3;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594;2.5;0.77;0.5;0.38;0.3;0.35;0.29;0.25;0.45;0.36;0.3;0.26;0.23;0.65;0.48;0.38;0.32;0.27;0.26;4.0;2.0;1.7;1.2;2.5;0.38;0.19;0.14;1.2;0.63;0.43;0.34;0.29;0.25
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;4;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594;2.5;0.77;0.5;0.38;0.3;0.35;0.29;0.25;0.45;0.36;0.3;0.26;0.23;0.65;0.48;0.38;0.32;0.27;0.26;4.0;2.0;1.7;1.2;2.5;0.38;0.19;0.14;1.2;0.63;0.43;0.34;0.29;0.25
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;5;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594;2.5;0.77;0.5;0.38;0.3;0.35;0.29;0.25;0.45;0.36;0.3;0.26;0.23;0.65;0.48;0.38;0.32;0.27;0.26;4.0;2.0;1.7;1.2;2.5;0.38;0.19;0.14;1.2;0.63;0.43;0.34;0.29;0.25
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;6;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594;2.5;0.77;0.5;0.38;0.3;0.35;0.29;0.25;0.45;0.36;0.3;0.26;0.23;0.65;0.48;0.38;0.32;0.27;0.26;4.0;2.0;1.7;1.2;2.5;0.38;0.19;0.14;1.2;0.63;0.43;0.34;0.29;0.25
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;7;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594;2.5;0.77;0.5;0.38;0.3;0.35;0.29;0.25;0.45;0.36;0.3;0.26;0.23;0.65;0.48;0.38;0.32;0.27;0.26;4.0;2.0;1.7;1.2;2.5;0.38;0.19;0.14;1.2;0.63;0.43;0.34;0.29;0.25
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;8;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594;2.5;0.77;0.5;0.38;0.3;0.35;0.29;0.25;0.45;0.36;0.3;0.26;0.23;0.65;0.48;0.38;0.32;0.27;0.26;4.0;2.0;1.7;1.2;2.5;0.38;0.19;0.14;1.2;0.63;0.43;0.34;0.29;0.25
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;9;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594;2.5;0.77;0.5;0.38;0.3;0.35;0.29;0.25;0.45;0.36;0.3;0.26;0.23;0.65;0.48;0.38;0.32;0.27;0.26;4.0;2.0;1.7;1.2;2.5;0.38;0.19;0.14;1.2;0.63;0.43;0.34;0.29;0.25
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;10;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;19781;2.5;0.77;0.5;0.38;0.3;0.35;0.29;0.25;0.45;0.36;0.3;0.26;0.23;0.65;0.48;0.38;0.32;0.27;0.26;4.0;2.0;1.7;1.2;2.5;0.38;0.19;0.14;1.2;0.63;0.43;0.34;0.29;0.25
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;11;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;19781;2.5;0.77;0.5;0.38;0.3;0.35;0.29;0.25;0.45;0.36;0.3;0.26;0.23;0.65;0.48;0.38;0.32;0.27;0.26;4.0;2.0;1.7;1.2;2.5;0.38;0.19;0.14;1.2;0.63;0.43;0.34;0.29;0.25
