Dwelling Type;Climate Type;Degrees of Reference;Construction Period;Size Factor;Surface;Ceiling Height;Share of Windows;Dwelling per Floor;Floors;Intermittence;__init__ial Age;Heating System;Efficiency;A Investment;B Investment;Maintenance Cost;Emission Factor;Energy Price;Same Switch Cost;Different Switch Cost;Delevery Type Cost;Specific Gas Price;Annual Variation;Carbon Price;Discount Rate;Inflation Rate;Insulation Limit;Headcount
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;11;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.1393;0.02;25;0.05;0;500000;68690
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;12;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.1393;0.02;25;0.05;0;500000;68690
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;13;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.1393;0.02;25;0.05;0;500000;68690
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;14;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.1393;0.02;25;0.05;0;500000;68690
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;15;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.1393;0.02;25;0.05;0;500000;68690
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;16;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.1393;0.02;25;0.05;0;500000;68690
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;17;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.1393;0.02;25;0.05;0;500000;68690
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;18;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.1393;0.02;25;0.05;0;500000;68690
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;19;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.1393;0.02;25;0.05;0;500000;68690
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;0;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.1393;0.02;25;0.05;0;500000;22897
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;1;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.1393;0.02;25;0.05;0;500000;22897
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;2;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.1393;0.02;25;0.05;0;500000;22897
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;3;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.1393;0.02;25;0.05;0;500000;22897
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;4;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.1393;0.02;25;0.05;0;500000;22897
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;5;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.1393;0.02;25;0.05;0;500000;16028
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;6;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.1393;0.02;25;0.05;0;500000;16028
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;7;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.1393;0.02;25;0.05;0;500000;16028
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;8;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.1393;0.02;25;0.05;0;500000;16028
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;9;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.1393;0.02;25;0.05;0;500000;16028
